xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size,tagged_sequence
/html/body/document/type,EX-2.1,0,,,,,,,,,,,,,,o
/html/body/document/type/sequence,2,1,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename,d110570dex21.htm,2,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description,EX-2.1,3,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/title,EX-2.1,4,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,5,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[2]/b,Execution Version,6,,,,,,,,,,,,,,o
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,A,7,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,A,t,0,"[0.0017627479172000866, 0.21666666666666667, 0.5666666666666667, 0.004904181356232644]",41.0,0.0,0.0017627479172000866,0.21666666666666667,0.5666666666666667,0.004904181356232644,0.0017627479172000866,41.0,b_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b/small[1],MENDED,8,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b/small[1],MENDED,t,0,"[0.0017627479172000866, 0.21666666666666667, 0.5666666666666667, 0.004904181356232644]",41.0,1.0,0.0017627479172000866,0.21666666666666667,0.5666666666666667,0.004904181356232644,0.0017627479172000866,41.0,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b/small[2],AND,9,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b/small[2],AND,t,0,"[0.0017627479172000866, 0.21666666666666667, 0.5666666666666667, 0.004904181356232644]",41.0,2.0,0.0017627479172000866,0.21666666666666667,0.5666666666666667,0.004904181356232644,0.0017627479172000866,41.0,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,R,10,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,R,t,0,"[0.0017627479172000866, 0.21666666666666667, 0.5666666666666667, 0.004904181356232644]",41.0,3.0,0.0017627479172000866,0.21666666666666667,0.5666666666666667,0.004904181356232644,0.0017627479172000866,41.0,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b/small[3],ESTATED,11,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b/small[3],ESTATED,t,0,"[0.0017627479172000866, 0.21666666666666667, 0.5666666666666667, 0.004904181356232644]",41.0,4.0,0.0017627479172000866,0.21666666666666667,0.5666666666666667,0.004904181356232644,0.0017627479172000866,41.0,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,A,12,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,A,t,0,"[0.0017627479172000866, 0.21666666666666667, 0.5666666666666667, 0.004904181356232644]",41.0,5.0,0.0017627479172000866,0.21666666666666667,0.5666666666666667,0.004904181356232644,0.0017627479172000866,41.0,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b/small[1],GREEMENT,13,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b/small[1],GREEMENT,t,0,"[0.0017627479172000866, 0.21666666666666667, 0.5666666666666667, 0.004904181356232644]",41.0,6.0,0.0017627479172000866,0.21666666666666667,0.5666666666666667,0.004904181356232644,0.0017627479172000866,41.0,i_t
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b/small[2],AND,14,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b/small[2],AND,t,0,"[0.0017627479172000866, 0.21666666666666667, 0.5666666666666667, 0.004904181356232644]",41.0,7.0,0.0017627479172000866,0.21666666666666667,0.5666666666666667,0.004904181356232644,0.0017627479172000866,41.0,i_t
