highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[3]/b,AGREEMENT AND PLAN OF MERGER,t,0,"[0.0014027543546014018, 0.25862389118864576, 0.48255470136014195, 0.003702004461389992]",8,0,0.0014027543546014018,0.25862389118864576,0.48255470136014195,0.003702004461389992,0.0014027543546014018,8
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,among,t,0,"[0.0014027543546014018, 0.25862389118864576, 0.48255470136014195, 0.003702004461389992]",8,1,0.0014027543546014018,0.25862389118864576,0.48255470136014195,0.003702004461389992,0.0014027543546014018,8
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5]/b,"BENEFIT STREET PARTNERS REALTY TRUST, INC.,",t,0,"[0.0014027543546014018, 0.25862389118864576, 0.48255470136014195, 0.003702004461389992]",8,2,0.0014027543546014018,0.25862389118864576,0.48255470136014195,0.003702004461389992,0.0014027543546014018,8
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,"RODEO SUB I, LLC,",t,0,"[0.0014027543546014018, 0.25862389118864576, 0.48255470136014195, 0.003702004461389992]",8,3,0.0014027543546014018,0.25862389118864576,0.48255470136014195,0.003702004461389992,0.0014027543546014018,8
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,CAPSTEAD MORTGAGE CORPORATION,t,0,"[0.0014027543546014018, 0.25862389118864576, 0.48255470136014195, 0.003702004461389992]",8,4,0.0014027543546014018,0.25862389118864576,0.48255470136014195,0.003702004461389992,0.0014027543546014018,8
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8]/b,and,t,0,"[0.0014027543546014018, 0.25862389118864576, 0.48255470136014195, 0.003702004461389992]",8,5,0.0014027543546014018,0.25862389118864576,0.48255470136014195,0.003702004461389992,0.0014027543546014018,8
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,BENEFIT STREET PARTNERS L.L.C.,t,0,"[0.0014027543546014018, 0.25862389118864576, 0.48255470136014195, 0.003702004461389992]",8,6,0.0014027543546014018,0.25862389118864576,0.48255470136014195,0.003702004461389992,0.0014027543546014018,8
/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,"Dated as of July 25, 2021",t,0,"[0.0014027543546014018, 0.25862389118864576, 0.48255470136014195, 0.003702004461389992]",8,7,0.0014027543546014018,0.25862389118864576,0.48255470136014195,0.003702004461389992,0.0014027543546014018,8
/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,t,1,"[0.005531917923080574, 0.4578344175044352, 0.0841277350680071, 0.00023203499501653246]",1,8,0.005531917923080574,0.4578344175044352,0.0841277350680071,0.00023203499501653246,0.005531917923080574,1
/html/body/document/type/sequence/filename/description/text/center[7]/div/p[4]/b,ARTICLE I,sn,3,"[0.05587811862234808, 0.47955470136014194, 0.04069337670017741, 0.00023203499501653246]",1,9,0.05587811862234808,0.47955470136014194,0.04069337670017741,0.00023203499501653246,0.05587811862234808,1
