,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size
0,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],AGREEMENT AND PLAN OF MERGER,t,0,"[0.002335047580481879, 0.4198513888888889, 0.16029722222222223, 0.0003037052034824863]",1,0,0.002335047580481879,0.4198513888888889,0.16029722222222223,0.0003037052034824863,0.002335047580481879,1
1,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7],"dated as of April 15, 2021,",t,1,"[0.0029728285077951, 0.45076527777777775, 0.09847013888888889, 0.0003037052034824863]",1,1,0.0029728285077951,0.45076527777777775,0.09847013888888889,0.0003037052034824863,0.0029728285077951,1
2,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],among,t,3,"[0.0036106094351083216, 0.48740208333333335, 0.025195277777777778, 0.0003037052034824863]",1,2,0.0036106094351083216,0.48740208333333335,0.025195277777777778,0.0003037052034824863,0.0036106094351083216,1
3,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9],"THERMO FISHER SCIENTIFIC
INC.,",t,2,"[0.004248390362421543, 0.42580833333333334, 0.14837777777777778, 0.0003037052034824863]",1,3,0.004248390362421543,0.42580833333333334,0.14837777777777778,0.0003037052034824863,0.004248390362421543,1
4,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10],POWDER ACQUISITION CORP.,t,4,"[0.004886171289734764, 0.4358347222222222, 0.12832569444444444, 0.0003037052034824863]",1,4,0.004886171289734764,0.4358347222222222,0.12832569444444444,0.0003037052034824863,0.004886171289734764,1
5,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[11],and,t,5,"[0.005523952217047985, 0.49331597222222223, 0.013368055555555555, 0.0003037052034824863]",1,5,0.005523952217047985,0.49331597222222223,0.013368055555555555,0.0003037052034824863,0.005523952217047985,1
6,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[12],"PPD, INC.",t,6,"[0.006161733144361206, 0.48006180555555555, 0.03987090277777778, 0.0003037052034824863]",1,6,0.006161733144361206,0.48006180555555555,0.03987090277777778,0.0003037052034824863,0.006161733144361206,1
7,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1],TABLE OF CONTENTS,t,7,"[0.0075451710872646285, 0.4530541666666667, 0.09388541666666667, 0.0003037052034824863]",1,7,0.0075451710872646285,0.4530541666666667,0.09388541666666667,0.0003037052034824863,0.0075451710872646285,1
8,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[4],i,n,8,"[0.022639400688398464, 0.49870902777777776, 0.0025770416666666667, 0.0003037052034824863]",1,8,0.022639400688398464,0.49870902777777776,0.0025770416666666667,0.0003037052034824863,0.022639400688398464,1
9,/html/body/document/type/sequence/filename/description/text/center[3]/div/p[2],ii,n,9,"[0.03889775258149423, 0.49742291666666666, 0.005148652777777778, 0.0003037052034824863]",1,9,0.03889775258149423,0.49742291666666666,0.005148652777777778,0.0003037052034824863,0.03889775258149423,1
