,xpaths,text,all_nodes_ordering
0,/html/body/document/type,EX-2.1,0
1,/html/body/document/type/sequence,2,1
2,/html/body/document/type/sequence/filename,exhibit21mergeragreement.htm,2
3,/html/body/document/type/sequence/filename/description,MERGER AGREEMENT,3
4,/html/body/document/type/sequence/filename/description/text/title,Document,4
5,/html/body/document/type/sequence/filename/description/text/div[4]/font[1],AGREEMENT AND PLAN OF MERGER,5
6,/html/body/document/type/sequence/filename/description/text/div[4]/font[1],by and among,6
7,/html/body/document/type/sequence/filename/description/text/div[4]/font[3],"ENTERPRISE FINANCIAL SERVICES CORP,",7
8,/html/body/document/type/sequence/filename/description/text/div[5]/font,"ENTERPRISE BANK & TRUST,",8
9,/html/body/document/type/sequence/filename/description/text/div[5]/font,FIRST CHOICE BANCORP,9
10,/html/body/document/type/sequence/filename/description/text/div[6]/font,and,10
11,/html/body/document/type/sequence/filename/description/text/div[7]/font,FIRST CHOICE BANK,11
12,/html/body/document/type/sequence/filename/description/text/div[8]/font,"April 26, 2021",12
13,/html/body/document/type/sequence/filename/description/text/div[15]/font,TABLE OF CONTENTS,13
14,/html/body/document/type/sequence/filename/description/text/div[16]/font,Page,14
15,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[2]/td/div/font[1],ARTICLE 1,15
16,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[2]/td/div/font[2],THE MERGER,16
17,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[3]/td[1]/div/font[1],Section 1.01,17
18,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[3]/td[1]/div/font[3],The Merger,18
19,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[3]/td[2]/div/font,2,19
20,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[4]/td[1]/div/font[1],Section 1.02,20
21,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[4]/td[1]/div/font[3],Certificate of Incorporation and Bylaws,21
22,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[4]/td[2]/div/font,2,22
23,/html/body/document/type/sequence/filename/description/text/div[17]/table/tbody/tr[5]/td[1]/div/font[1],Section 1.03,23
