,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size,period_space_section_title,is_section_title
21,/html/body/document/type/sequence/filename/description/text/p[63]/font,.,sst,12,"[0.08252649233818708, 0.10385964912280701, 0.05209978947368421, 0.00038118472211633755]",3,21,0.08252649233818708,0.10385964912280701,0.05209978947368421,0.00038118472211633755,0.08252649233818708,3,True,1.0
24,/html/body/document/type/sequence/filename/description/text/p[65]/font[2],.,ssst,14,"[0.08331427409722751, 0.10396912280701755, 0.0910140350877193, 0.00038118472211633755]",2,24,0.08331427409722751,0.10396912280701755,0.0910140350877193,0.00038118472211633755,0.08331427409722751,2,True,1.0
28,/html/body/document/type/sequence/filename/description/text/p[72]/font[2],.,sst,25,"[0.08887957104012605, 0.10261543859649123, 0.04794954385964913, 0.00038118472211633755]",2,28,0.08887957104012605,0.10261543859649123,0.04794954385964913,0.00038118472211633755,0.08887957104012605,2,True,1.0
31,/html/body/document/type/sequence/filename/description/text/p[78]/font,.,sst,21,"[0.09407511880257172, 0.10573473684210526, 0.03145284210526316, 0.00038118472211633755]",2,31,0.09407511880257172,0.10573473684210526,0.03145284210526316,0.00038118472211633755,0.09407511880257172,2,True,1.0
34,/html/body/document/type/sequence/filename/description/text/p[80]/font,.,sst,23,"[0.09643846407969302, 0.10573473684210526, 0.10270315789473684, 0.00038118472211633755]",2,34,0.09643846407969302,0.10573473684210526,0.10270315789473684,0.00038118472211633755,0.09643846407969302,2,True,1.0
38,/html/body/document/type/sequence/filename/description/text/p[89]/font,.,sst,28,"[0.10357932454067241, 0.10573473684210526, 0.08580561403508771, 0.00038118472211633755]",2,38,0.10357932454067241,0.10573473684210526,0.08580561403508771,0.00038118472211633755,0.10357932454067241,2,True,1.0
41,/html/body/document/type/sequence/filename/description/text/p[95]/font,. The parties int,sst,30,"[0.10712434245635434, 0.10573473684210526, 0.07208350877192982, 0.00038118472211633755]",2,41,0.10712434245635434,0.10573473684210526,0.07208350877192982,0.00038118472211633755,0.10712434245635434,2,True,1.0
48,/html/body/document/type/sequence/filename/description/text/p[102]/font,". At the Effective Time,",sst,35,"[0.11190185764021245, 0.10385964912280701, 0.09159017543859649, 0.00038118472211633755]",3,48,0.11190185764021245,0.10385964912280701,0.09159017543859649,0.00038118472211633755,0.11190185764021245,3,True,1.0
51,/html/body/document/type/sequence/filename/description/text/p[104]/font[2],. Subject to,ssst,37,"[0.11268963939925287, 0.10396912280701755, 0.09952842105263159, 0.00038118472211633755]",2,51,0.11268963939925287,0.10396912280701755,0.09952842105263159,0.00038118472211633755,0.11268963939925287,2,True,1.0
56,/html/body/document/type/sequence/filename/description/text/p[108]/font[2],". Each share of common stock, par",ssst,41,"[0.11662854819445503, 0.10396912280701755, 0.13762596491228068, 0.00038118472211633755]",2,56,0.11662854819445503,0.10396912280701755,0.13762596491228068,0.00038118472211633755,0.11662854819445503,2,True,1.0
62,/html/body/document/type/sequence/filename/description/text/p[113]/font,. As of the Partnership Merger E,sst,46,"[0.12140606337831313, 0.10573473684210526, 0.11568561403508772, 0.00038118472211633755]",2,62,0.12140606337831313,0.10573473684210526,0.11568561403508772,0.00038118472211633755,0.12140606337831313,2,True,1.0
