,xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size,tagged_sequence
0,/html/body/document/type,EX-2.1,0,,,,,,,,,,,,,,o
1,/html/body/document/type/sequence,2,1,,,,,,,,,,,,,,o
2,/html/body/document/type/sequence/filename,d191890dex21.htm,2,,,,,,,,,,,,,,o
3,/html/body/document/type/sequence/filename/description,EX-2.1,3,,,,,,,,,,,,,,o
4,/html/body/document/type/sequence/filename/description/text/title,EX-2.1,4,,,,,,,,,,,,,,o
5,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[1]/b,Exhibit 2.1,5,,,,,,,,,,,,,,o
6,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,AGREEMENT AND PLAN OF MERGER,6,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[4]/b,AGREEMENT AND PLAN OF MERGER,t,0.0,"[0.0018033102280786038, 0.21368421052631578, 0.5726315789473684, 0.004666803925605655]",8.0,0.0,0.00180331,0.213684211,0.572631579,0.004666804,0.00180331,8.0,b_t
7,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],among:,7,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[5],among:,t,0.0,"[0.0018033102280786038, 0.21368421052631578, 0.5726315789473684, 0.004666803925605655]",8.0,1.0,0.00180331,0.213684211,0.572631579,0.004666804,0.00180331,8.0,i_t
8,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,SANOFI,8,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6]/b,SANOFI,t,0.0,"[0.0018033102280786038, 0.21368421052631578, 0.5726315789473684, 0.004666803925605655]",8.0,2.0,0.00180331,0.213684211,0.572631579,0.004666804,0.00180331,8.0,i_t
9,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],",",9,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[6],",",t,0.0,"[0.0018033102280786038, 0.21368421052631578, 0.5726315789473684, 0.004666803925605655]",8.0,3.0,0.00180331,0.213684211,0.572631579,0.004666804,0.00180331,8.0,i_t
10,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,"VECTOR MERGER SUB, INC.",10,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[7]/b,"VECTOR MERGER SUB, INC.",t,0.0,"[0.0018033102280786038, 0.21368421052631578, 0.5726315789473684, 0.004666803925605655]",8.0,4.0,0.00180331,0.213684211,0.572631579,0.004666804,0.00180331,8.0,i_t
11,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],and,11,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[8],and,t,0.0,"[0.0018033102280786038, 0.21368421052631578, 0.5726315789473684, 0.004666803925605655]",8.0,5.0,0.00180331,0.213684211,0.572631579,0.004666804,0.00180331,8.0,i_t
12,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,"TRANSLATE BIO, INC.",12,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[9]/b,"TRANSLATE BIO, INC.",t,0.0,"[0.0018033102280786038, 0.21368421052631578, 0.5726315789473684, 0.004666803925605655]",8.0,6.0,0.00180331,0.213684211,0.572631579,0.004666804,0.00180331,8.0,i_t
13,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,"Dated as of AUGUST 2, 2021",13,/html/body/document/type/sequence/filename/description/text/center[1]/div/p[10]/b,"Dated as of AUGUST 2, 2021",t,0.0,"[0.0018033102280786038, 0.21368421052631578, 0.5726315789473684, 0.004666803925605655]",8.0,7.0,0.00180331,0.213684211,0.572631579,0.004666804,0.00180331,8.0,e_t
14,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,14,/html/body/document/type/sequence/filename/description/text/center[2]/div/p[1]/b,TABLE OF CONTENTS,st,1.0,"[0.007575686866607188, 0.45009894736842104, 0.09980280701754385, 0.00034314734747100404]",1.0,8.0,0.007575687,0.450098947,0.099802807,0.000343147,0.007575687,1.0,s_st
15,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[2]/td[5]/b,Page,15,,,,,,,,,,,,,,o
16,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[1]/p,ARTICLE I THE OFFER,16,,,,,,,,,,,,,,o
17,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[3]/td[4],2,17,,,,,,,,,,,,,,o
18,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[1]/p,Section 1.1,18,,,,,,,,,,,,,,o
19,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[3],The Offer,19,,,,,,,,,,,,,,o
20,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[5]/td[6],2,20,,,,,,,,,,,,,,o
21,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[1]/p,Section 1.2,21,,,,,,,,,,,,,,o
22,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[3],Company Actions,22,,,,,,,,,,,,,,o
23,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[7]/td[6],4,23,,,,,,,,,,,,,,o
24,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[9]/td[1]/p,ARTICLE II MERGER TRANSACTION,24,,,,,,,,,,,,,,o
25,/html/body/document/type/sequence/filename/description/text/center[2]/div/table/tbody/tr[9]/td[4],5,25,,,,,,,,,,,,,,o
